"lang"
{
    "Language"    "Russian"
"talent_disc_modifier_nevermore_requiem_heal_2" "Вы исцеляетесь на <b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>40%</font></b>/<b><font color='#297016'>60%</font></b> от нанесенного урона по целям устрашения Requiem of Souls<br><br>Включая урон Requiem of Souls"
"talent_disc_modifier_nevermore_requiem_heal_3" "Вы исцеляетесь на <b><font color='#297016'>20%</font></b>/<b><font color='#297016'>40%</font></b>/<b><font color='#53ea48'>60%</font></b> от нанесенного урона по целям устрашения Requiem of Souls<br><br>Включая урон Requiem of Souls"

"DOTA_Tooltip_modifier_custom_reqiuem_heal"									"Requiem of Souls"
"DOTA_Tooltip_modifier_custom_reqiuem_heal_Description"						"Восстанавливает <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> здоровья в секунду"



"font_disc_modifier_nevermore_requiem_proc" "18"
"upgrade_disc_modifier_nevermore_requiem_proc_1" "За каждую душу Requiem of Souls, цель получает заряд эффекта 'Опустошение' на 10 секунд<br><br>Ваши атаки по цели с этим эффектом наносят ей дополнительно <b><font color='#53ea48'>10</font></b> магического урона за каждый его заряд"
"upgrade_disc_modifier_nevermore_requiem_proc_2" "За каждую душу Requiem of Souls, цель получает заряд эффекта 'Опустошение' на 10 секунд<br><br>Ваши атаки по цели с этим эффектом наносят ей дополнительно <b><font color='#53ea48'>20</font></b> магического урона за каждый его заряд" 

"talent_disc_modifier_nevermore_requiem_proc_0" "За каждую душу Requiem of Souls, цель получает заряд эффекта 'Опустошение' на 10 секунд<br><br>Ваши атаки по цели с этим эффектом наносят ей дополнительно <b><font color='#297016'>10</font></b>/<b><font color='#297016'>20</font></b> магического урона за каждый его заряд" 
"talent_disc_modifier_nevermore_requiem_proc_1" "За каждую душу Requiem of Souls, цель получает заряд эффекта 'Опустошение' на 10 секунд<br><br>Ваши атаки по цели с этим эффектом наносят ей дополнительно <b><font color='#53ea48'>10</font></b>/<b><font color='#297016'>20</font></b> магического урона за каждый его заряд" 
"talent_disc_modifier_nevermore_requiem_proc_2" "За каждую душу Requiem of Souls, цель получает заряд эффекта 'Опустошение' на 10 секунд<br><br>Ваши атаки по цели с этим эффектом наносят ей дополнительно <b><font color='#297016'>10</font></b>/<b><font color='#53ea48'>20</font></b> магического урона за каждый его заряд" 

"mini_disc_modifier_nevermore_requiem_proc" "Цели Requiem of Souls получают больше урона"
"DOTA_Tooltip_modifier_custom_reqiuem_damage"									"Devastation"
"DOTA_Tooltip_modifier_custom_reqiuem_damage_Description"						"Shadow Fiend наносит вам дополнительно <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> магического урона за каждую атаку"




"font_disc_modifier_nevermore_requiem_bkb" "20"
"upgrade_disc_modifier_nevermore_requiem_bkb_1" "На время применения Requiem of Souls вы получаете неуязвимость к магии и атакам<br><br>Если Requiem of Souls будет прерван, этот эффект уйдет на перезарядку в 15 секунд"
"mini_disc_modifier_nevermore_requiem_bkb" "На время применения Requiem of Souls вы получаете неуязвимость"

"DOTA_Tooltip_modifier_custom_reqiuem_bkb_cd"				"Ghost Form cooldown"
"DOTA_Tooltip_modifier_custom_reqiuem_bkb_cd_Description"	"Эффект Ghost Form  перезаряжается"





"font_disc_modifier_nevermore_requiem_cdsoul" "20"
"upgrade_disc_modifier_nevermore_requiem_cdsoul_1" "Когда вас атакуют, вы выпускаете <b><font color='#53ea48'>1</font></b> душу Requiem Of Souls в нападающего<br><br>Перезарядка: 15 секунд"
"mini_disc_modifier_nevermore_requiem_cdsoul" "Requiem of Souls может сработать автоматически"



"DOTA_Tooltip_modifier_custom_reqiuem_auto_cd"				"Auto Requiem of Souls cooldown"
"DOTA_Tooltip_modifier_custom_reqiuem_auto_cd_Description"	"Перезарядка автоматического срабатывания Requiem of Souls"





"font_disc_modifier_nevermore_requiem_legendary" "18"
"upgrade_disc_modifier_nevermore_requiem_legendary" "Пока вы применяете Requiem of Souls, вы притягиваете к себе всех противников в радиусе <b><font color='#fb9531'>900</font></b>, а также накладываете на них безмолвие<br><br>Если Requiem of Souls прервется, эффект уйдет на перезарядку в 15 сек"
"mini_disc_modifier_nevermore_requiem_legendary" "Requiem of Souls притягивает всех противников"


"DOTA_Tooltip_modifier_custom_reqiuem_legendary"				"Загипнотизирован"

"DOTA_Tooltip_modifier_custom_reqiuem_legendary_cd"				"Soul Reaper cooldown"
"DOTA_Tooltip_modifier_custom_reqiuem_legendary_cd_Description"  "Эффект Soul Reaper перезаряжается"












	

"Voice.Legion.1_1"	"Смех"
"Voice.Legion.1_2"	"Попробуй еще раз." 
"Voice.Legion.2_1"	"Я сказала на колени." 
"Voice.Legion.2_2"	"В очередь сукины дети!" 
"Voice.Legion.3_1"	"Твои друзья тебе не помогут." 
"Voice.Legion.3_2"	"Ах ты..." 
"Voice.Legion.4_1"	"Потануцем?" 
"Voice.Legion.5_1"	"Какого черта?" 
"Voice.Legion.6_1"	"Ты пришел на битву.. в этом?!" 



"Legion.Quest_1"	"Займите 1 место, используя основной легендарный талант Overwhelming Odds"
"Legion.Quest_2"	"Займите 1 место, используя основной легендарный талант Press the Attack"
"Legion.Quest_3"	"Займите 1 место, используя основной легендарный талант Moment of Courage"
"Legion.Quest_4"	"Займите 1 место, используя основной легендарный талант Duel"


"Legion.Quest_5"	"Нанесите магический урон героям, с помощью Overwhelming Odds"
"Legion.Quest_6"	"Развейте негативные эффекты, используя Press the Attack"
"Legion.Quest_7"	"Восстановите здоровье, используя вампиризм Moment of Courage против героев"
"Legion.Quest_8"	"Получите постоянный бонус к урону от побед Duel"



"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds"				"Overwhelming Odds"
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_Description"	"Наносит урон противникам в выбранной области. Замедляет пораженные цели и ускоряет героя, если способность задевает хотя бы одного противника.<br><br>Иллюзии получают дополнительный урон в виде доли от их здоровья."
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_Lore"			"Лучники Стоунхолла всегда в распоряжении Тресдин."
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_radius"		"РАДИУС:"
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_damage"		"УРОН:"		
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_illusion_dmg_pct"	"%УРОН ИЛЛЮЗИЯМ:"
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_speed_change"		"%УСКОРЕНИЕ/ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_custom_legion_commander_overwhelming_odds_duration"		"ДЛИТЕЛЬНОСТЬ УСКОРЕНИЯ/ЗАМЕДЛЕНИЯ:"


"DOTA_Tooltip_modifier_overwhelming_odds_speed"				"Overwhelming Odds"
"DOTA_Tooltip_modifier_overwhelming_odds_speed_Description"	"Скорость передвижения изменена %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%<br><br>Скорость атаки изменена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"hero_change_npc_dota_hero_legion_commander_1" "Урон/ускорение способности не зависят от количества противников"
"hero_change_npc_dota_hero_legion_commander_2" "Замедляет противников на <b><font color='#53ea48'>11/14/17/20%</font></b>"
"hero_change_npc_dota_hero_legion_commander_3" "Можно использовать на крипов, получая <b><font color='#53ea48'>4/5/6</font></b> урона за победу"
"hero_change_npc_dota_hero_legion_commander_4" "Длительность уменьшена до <b><font color='#ff0000'>3</font></b> секунд (не снижается сопротивлением)"
"hero_change_npc_dota_hero_legion_commander_5" "Урон за победу снижен до <b><font color='#ff0000'>10/15/20</font></b>"
"hero_change_npc_dota_hero_legion_commander_6" "Изменены Aghanim Shard и Aghanim Scepter"



"npc_dota_hero_legion_commander_legendary_1"	"Overwhelming Odds дополнительно срабатывает от ваших атак"
"npc_dota_hero_legion_commander_legendary_2" 	"Press the Attack откладывает часть полученного урона и наносит урон"
"npc_dota_hero_legion_commander_legendary_3" 	"Активная<br><br>Переключает защитную и атакующую стойку"
"npc_dota_hero_legion_commander_legendary_4"  	"Новая способность<br><br>Удваивает бонусы от следующей Duel"





"font_disc_modifier_legion_odds_cd" "25"
"upgrade_disc_modifier_legion_odds_cd_1" "<b><font color='#53ea48'>-1</font></b> секунда перезарядки Overwhelming Odds"
"upgrade_disc_modifier_legion_odds_cd_2" "<b><font color='#53ea48'>-2</font></b> секунды перезарядки Overwhelming Odds"
"upgrade_disc_modifier_legion_odds_cd_3" "<b><font color='#53ea48'>-3</font></b> секунды перезарядки Overwhelming Odds"

"talent_disc_modifier_legion_odds_cd_0" "<b><font color='#297016'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#297016'>-3</font></b> секунда перезарядки Overwhelming Odds"
"talent_disc_modifier_legion_odds_cd_1" "<b><font color='#53ea48'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#297016'>-3</font></b> секунды перезарядки Overwhelming Odds"
"talent_disc_modifier_legion_odds_cd_2" "<b><font color='#297016'>-1</font></b>/<b><font color='#53ea48'>-2</font></b>/<b><font color='#297016'>-3</font></b> секунды перезарядки Overwhelming Odds"
"talent_disc_modifier_legion_odds_cd_3" "<b><font color='#297016'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#53ea48'>-3</font></b> секунды перезарядки Overwhelming Odds"





"font_disc_modifier_legion_odds_creep" "23"
"upgrade_disc_modifier_legion_odds_creep_1" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#53ea48'>30</font></b>"
"upgrade_disc_modifier_legion_odds_creep_2" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#53ea48'>45</font></b>"
"upgrade_disc_modifier_legion_odds_creep_3" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#53ea48'>60</font></b>"

"talent_disc_modifier_legion_odds_creep_0" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b>"
"talent_disc_modifier_legion_odds_creep_1" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#53ea48'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b>"
"talent_disc_modifier_legion_odds_creep_2" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#53ea48'>45</font></b>/<b><font color='#297016'>60</font></b>"
"talent_disc_modifier_legion_odds_creep_3" "Overwhelming Odds также увеличивает вашу скорость атаки на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#53ea48'>60</font></b>"




"font_disc_modifier_legion_odds_triple" "21"
"upgrade_disc_modifier_legion_odds_triple_1" "Урон Overwhelming Odds увеличивается на <b><font color='#53ea48'>15%</font></b> от вашего урона атаки"
"upgrade_disc_modifier_legion_odds_triple_2" "Урон Overwhelming Odds увеличивается на <b><font color='#53ea48'>20%</font></b> от вашего урона атаки"
"upgrade_disc_modifier_legion_odds_triple_3" "Урон Overwhelming Odds увеличивается на <b><font color='#53ea48'>25%</font></b> от вашего урона атаки"

"talent_disc_modifier_legion_odds_triple_0" "Урон Overwhelming Odds увеличивается на <b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>25%</font></b> от вашего урона атаки"
"talent_disc_modifier_legion_odds_triple_1" "Урон Overwhelming Odds увеличивается на <b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>25%</font></b> от вашего урона атаки"
"talent_disc_modifier_legion_odds_triple_2" "Урон Overwhelming Odds увеличивается на <b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>25%</font></b> от вашего урона атаки"
"talent_disc_modifier_legion_odds_triple_3" "Урон Overwhelming Odds увеличивается на <b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>25%</font></b> от вашего урона атаки"


"font_disc_modifier_legion_odds_proc" "18"
"upgrade_disc_modifier_legion_odds_proc_1" "Каждая 6 атака усиляет ваш следующий Overwhelming Odds<br><br>Задетые им противники сильно замедлятся на 1.5 секунды, а урон способности увеличивается на <b><font color='#53ea48'>30%</font></b>"
"upgrade_disc_modifier_legion_odds_proc_2" "Каждая 6 атака усиляет ваш следующий Overwhelming Odds<br><br>Задетые им противники сильно замедлятся на 1.5 секунды, а урон способности увеличивается на <b><font color='#53ea48'>50%</font></b>"

"talent_disc_modifier_legion_odds_proc_0" "Каждая 6 атака усиляет ваш следующий Overwhelming Odds<br><br>Задетые им противники сильно замедлятся на 1.5 секунды, а урон способности увеличивается на <b><font color='#297016'>30%</font></b>/<b><font color='#297016'>50%</font></b>"
"talent_disc_modifier_legion_odds_proc_1" "Каждая 6 атака усиляет ваш следующий Overwhelming Odds<br><br>Задетые им противники сильно замедлятся на 1.5 секунды, а урон способности увеличивается на <b><font color='#53ea48'>30%</font></b>/<b><font color='#297016'>50%</font></b>"
"talent_disc_modifier_legion_odds_proc_2" "Каждая 6 атака усиляет ваш следующий Overwhelming Odds<br><br>Задетые им противники сильно замедлятся на 1.5 секунды, а урон способности увеличивается на <b><font color='#297016'>30%</font></b>/<b><font color='#53ea48'>50%</font></b>"
"mini_disc_modifier_legion_odds_proc" "Каждая 6 атака усиляет следующий Overwhelming Odds"

"DOTA_Tooltip_modifier_overwhelming_odds_stack"				"Crushing Volley"
"DOTA_Tooltip_modifier_overwhelming_odds_stack_Description"	"Когда этот эффект суммируется <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> раз, ваш Overwhelming Odds усилится"
	

"DOTA_Tooltip_modifier_overwhelming_odds_proc"				"Crushing Volley"
"DOTA_Tooltip_modifier_overwhelming_odds_proc_Description"	"Ваш следующий Overwhelming Odds замедлит противника и нанесет дополнительный урон"









"font_disc_modifier_legion_odds_solo" "20"
"upgrade_disc_modifier_legion_odds_solo_1" "<b><font color='#53ea48'>+10%</font></b> замедления Overwhelming Odds<br><br>Активный Overwhelming Odds обезмолвливает цели на <b><font color='#53ea48'>2</font></b> секунды" 
"mini_disc_modifier_legion_odds_solo" "Overwhelming Odds обезмолвливает цели"

		



"font_disc_modifier_legion_odds_mark" "18"
"upgrade_disc_modifier_legion_odds_mark_1" "Случайная цель Overwhelming Odds получает эффект 'Преследование'<br><br>Когда вы выбираете целью атаки жертву 'Преследования', вы совершаете к ней рывок и оглушаете ее на <b><font color='#53ea48'>1</font></b> секунду<br><br>Макс. дальность: 2000<br>Рывок нельзя отменить"
"mini_disc_modifier_legion_odds_mark" "Overwhelming Odds позволяет совершить рывок и оглушить цель"

"DOTA_Tooltip_modifier_overwhelming_odds_mark"			"Persecution"
"DOTA_Tooltip_modifier_overwhelming_odds_mark_Description"	"Legion Commander может совершить рывок к вам"
	
"DOTA_Tooltip_modifier_overwhelming_odds_mark_speed"			"Persecution"
"DOTA_Tooltip_modifier_overwhelming_odds_mark_speed_Description"	"Совершает рывок"



"font_disc_modifier_legion_odds_legendary" "18"
"upgrade_disc_modifier_legion_odds_legendary" "После применения Overwhelming Odds, вы получаете эффект 'Обстрел' на 8 секунд<br><br>Под его действием, Overwhelming Odds срабатывает автоматически на вашу цель после каждой <b><font color='#fb9531'>3</font></b> атаки<br>(5 атак против крипов)"
"mini_disc_modifier_legion_odds_legendary" "Overwhelming Odds срабатывает еще несколько раз"

"DOTA_Tooltip_modifier_overwhelming_odds_legendary"			"Overwhelming Odds"
"DOTA_Tooltip_modifier_overwhelming_odds_legendary_Description"	"Overwhelming Odds срабатывает автоматически от ваших атак"




"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack"				"Press The Attack"
"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack_Description"	"Снимает все отрицательные эффекты с союзной цели и ненадолго увеличивает её скорость атаки и восстановление здоровья.\n\nТИП РАЗВЕИВАНИЯ: сильное"
"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack_Lore"			"Сплочающий горн Бронзового легиона способен воодушевить любого."
"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack_duration"		"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack_attack_speed"	"ДОП. СКОРОСТЬ АТАКИ:"
"DOTA_Tooltip_ability_custom_legion_commander_press_the_attack_hp_regen"		"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"


"DOTA_Tooltip_modifier_press_the_attack_buff"				"Press the Attack"
"DOTA_Tooltip_modifier_press_the_attack_buff_Description"	"Скорость атаки увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%</font></b>, скорость восстановления здоровья увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%</font></b>."
		


"font_disc_modifier_legion_press_cd" "19"
"upgrade_disc_modifier_legion_press_cd_1" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#53ea48'>10%</font></b>, а скорость передвижения на <b><font color='#53ea48'>5%</font></b>"
"upgrade_disc_modifier_legion_press_cd_2" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#53ea48'>15%</font></b>, а скорость передвижения на <b><font color='#53ea48'>10%</font></b>"
"upgrade_disc_modifier_legion_press_cd_3" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#53ea48'>20%</font></b>, а скорость передвижения на <b><font color='#53ea48'>15%</font></b>"

"talent_disc_modifier_legion_press_cd_0" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость передвижения на <b><font color='#297016'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_cd_1" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость передвижения на <b><font color='#53ea48'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_cd_2" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>, а скорость передвижения на <b><font color='#297016'>5%</font></b>/<b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_cd_3" "Press the Attack увеличивает ваше сопротивление эффектам на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>, а скорость передвижения на <b><font color='#297016'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>"




"font_disc_modifier_legion_press_regen" "21"

"upgrade_disc_modifier_legion_press_regen_1" "Press the Attack восстанавливает вам дополнительно <b><font color='#53ea48'>50</font></b> здоровья в секунду"
"upgrade_disc_modifier_legion_press_regen_2" "Press the Attack восстанавливает вам дополнительно <b><font color='#53ea48'>75</font></b> здоровья в секунду"
"upgrade_disc_modifier_legion_press_regen_3" "Press the Attack восстанавливает вам дополнительно <b><font color='#53ea48'>100</font></b> здоровья в секунду"

"talent_disc_modifier_legion_press_regen_0" "Press the Attack восстанавливает вам дополнительно <b><font color='#297016'>50</font></b>/<b><font color='#297016'>75</font></b>/<b><font color='#297016'>100</font></b> здоровья в секунду"
"talent_disc_modifier_legion_press_regen_1" "Press the Attack восстанавливает вам дополнительно <b><font color='#53ea48'>50</font></b>/<b><font color='#297016'>75</font></b>/<b><font color='#297016'>100</font></b> здоровья в секунду"
"talent_disc_modifier_legion_press_regen_2" "Press the Attack восстанавливает вам дополнительно <b><font color='#297016'>50</font></b>/<b><font color='#53ea48'>75</font></b>/<b><font color='#297016'>100</font></b> здоровья в секунду"
"talent_disc_modifier_legion_press_regen_3" "Press the Attack восстанавливает вам дополнительно <b><font color='#297016'>50</font></b>/<b><font color='#297016'>75</font></b>/<b><font color='#53ea48'>100</font></b> здоровья в секунду"



"font_disc_modifier_legion_press_speed" "21"
"upgrade_disc_modifier_legion_press_speed_1" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#53ea48'>5%</font></b>"
"upgrade_disc_modifier_legion_press_speed_2" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#53ea48'>10%</font></b>"
"upgrade_disc_modifier_legion_press_speed_3" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#53ea48'>15%</font></b>"


"talent_disc_modifier_legion_press_speed_0" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#297016'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_speed_1" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#53ea48'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_speed_2" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#297016'>5%</font></b>/<b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>"
"talent_disc_modifier_legion_press_speed_3" "Под действием Press the Attack, ваша сила увеличивается на <b><font color='#297016'>5%</font></b>/<b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>"




"font_disc_modifier_legion_press_duration" "18"
"upgrade_disc_modifier_legion_press_duration_1" "Под действием Press the Attack, каждую секунду вы наносите противникам неподалёку магический урон, равный <b><font color='#53ea48'>2%</font></b> от вашего максимального здоровья<br><br>С каждым срабатыванием, урон этой способности по цели увеличивается на 30%"
"upgrade_disc_modifier_legion_press_duration_2" "Под действием Press the Attack, каждую секунду вы наносите противникам неподалёку магический урон, равный <b><font color='#53ea48'>3%</font></b> от вашего максимального здоровья<br><br>С каждым срабатыванием, урон этой способности по цели увеличивается на 30%"

"talent_disc_modifier_legion_press_duration_0" "Под действием Press the Attack, каждую секунду вы наносите противникам неподалёку магический урон, равный <b><font color='#297016'>2%</font></b>/<b><font color='#297016'>3%</font></b> от вашего максимального здоровья<br><br>С каждым срабатыванием, урон этой способности по цели увеличивается на 30%"
"talent_disc_modifier_legion_press_duration_1" "Под действием Press the Attack, каждую секунду вы наносите противникам неподалёку магический урон, равный <b><font color='#53ea48'>2%</font></b>/<b><font color='#297016'>3%</font></b> от вашего максимального здоровья<br><br>С каждым срабатыванием, урон этой способности по цели увеличивается на 30%"
"talent_disc_modifier_legion_press_duration_2" "Под действием Press the Attack, каждую секунду вы наносите противникам неподалёку магический урон, равный <b><font color='#297016'>2%</font></b>/<b><font color='#53ea48'>3%</font></b> от вашего максимального здоровья<br><br>С каждым срабатыванием, урон этой способности по цели увеличивается на 30%"
"mini_disc_modifier_legion_press_duration" "Press the Attack наносит переодический чистый урон"



"DOTA_Tooltip_modifier_press_the_attack_burn_stack"							"Press the Attack"
"DOTA_Tooltip_modifier_press_the_attack_burn_stack_Description"				"Входящий урон от горения Press the Attack увеличен на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOOLTIP%%%</font></b>"



"font_disc_modifier_legion_press_after" "21"
"upgrade_disc_modifier_legion_press_after_1" "Когда вы получаете эффект Press the Attack, все противники в радиусе 400 от вас обездвиживаются на <b><font color='#53ea48'>1.5</font></b> секунды"
"mini_disc_modifier_legion_press_after" "Press the Attack обездвиживает всех противников неподалёку"
"DOTA_Tooltip_modifier_press_the_attack_root"							"Chained"
"DOTA_Tooltip_modifier_press_the_attack_root_Description"				"Обездвижен"



"font_disc_modifier_legion_press_lowhp" "19"
"upgrade_disc_modifier_legion_press_lowhp_1" "Press the Attack дает вам неуязвимость к магии на <b><font color='#53ea48'>1.5</font></b> секунды и моментально исцеляет вас на <b><font color='#53ea48'>15%</font></b> от недостающего здоровья"
"mini_disc_modifier_legion_press_lowhp" "Press the Attack дает неуязвимость к магии"

"DOTA_Tooltip_modifier_press_the_attack_lowhp_cd"							"Second Wind cooldown"
"DOTA_Tooltip_modifier_press_the_attack_lowhp_cd_Description"				"Перезарядка автоматического срабатывания Press the Attack"





"font_disc_modifier_legion_press_legendary" "17"
"upgrade_disc_modifier_legion_press_legendary" "Press the Attack откладывает <b><font color='#fb9531'>50%</font></b> полученного урона. В конце действия Press the Attack, вы получите весь отложенный урон за 4 секунды<br><br>Противники неподалёку также получают этот урон<br>(50% против крипов)<br><br>Press the Attack больше нельзя развеять"
"mini_disc_modifier_legion_press_legendary" "Press the Attack откладывает 40% полученного урона"

"DOTA_Tooltip_modifier_press_the_attack_count"							"Ignore Pain"
"DOTA_Tooltip_modifier_press_the_attack_count_Description"				"К концу действия Press the Attack вы получите <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> урона"


"DOTA_Tooltip_modifier_press_the_attack_legendary_damage"							"Ignore Pain"
"DOTA_Tooltip_modifier_press_the_attack_legendary_damage_Description"				"Получает отложенный урон"





"DOTA_Tooltip_ability_custom_legion_commander_moment_of_courage"				"Moment of Courage"
"DOTA_Tooltip_ability_custom_legion_commander_moment_of_courage_Description"	"Может мгновенно ответить на вражескую атаку контратакой с дополнительным вампиризмом."
"DOTA_Tooltip_ability_custom_legion_commander_moment_of_courage_Lore"			"Тресдин знает, что враг наиболее уязвим после своего самого жестокого удара."
"DOTA_Tooltip_ability_custom_legion_commander_moment_of_courage_trigger_chance"  "%ШАНС КОНТРАТАКИ:"
"DOTA_Tooltip_ability_custom_legion_commander_moment_of_courage_hp_leech_percent" "%ВАМПИРИЗМ:"


"DOTA_Tooltip_modifier_moment_of_courage_speed"							"Moment of Courage"
"DOTA_Tooltip_modifier_moment_of_courage_speed_Description"				"Следующая атака будет проведена с максимальной скоростью."




"font_disc_modifier_legion_moment_chance" "23"

"upgrade_disc_modifier_legion_moment_chance_1" "<b><font color='#53ea48'>+4%</font></b> шанса срабатывания Moment of Courage"
"upgrade_disc_modifier_legion_moment_chance_2" "<b><font color='#53ea48'>+6%</font></b> шанса срабатывания Moment of Courage"
"upgrade_disc_modifier_legion_moment_chance_3" "<b><font color='#53ea48'>+8%</font></b> шанса срабатывания Moment of Courage"

"talent_disc_modifier_legion_moment_chance_0" "<b><font color='#297016'>+4%</font></b>/<b><font color='#297016'>+6%</font></b>/<b><font color='#297016'>+8%</font></b> шанса срабатывания Moment of Courage"
"talent_disc_modifier_legion_moment_chance_1" "<b><font color='#53ea48'>+4%</font></b>/<b><font color='#297016'>+6%</font></b>/<b><font color='#297016'>+8%</font></b> шанса срабатывания Moment of Courage"
"talent_disc_modifier_legion_moment_chance_2" "<b><font color='#297016'>+4%</font></b>/<b><font color='#53ea48'>+6%</font></b>/<b><font color='#297016'>+8%</font></b> шанса срабатывания Moment of Courage"
"talent_disc_modifier_legion_moment_chance_3" "<b><font color='#297016'>+4%</font></b>/<b><font color='#297016'>+6%</font></b>/<b><font color='#53ea48'>+8%</font></b> шанса срабатывания Moment of Courage"



"font_disc_modifier_legion_moment_defence" "21"
"upgrade_disc_modifier_legion_moment_defence_1" "Атаки Moment of Courage уменьшают получаемый вами урон на <b><font color='#53ea48'>2%</font></b> на 4 секунд<br><br>Эффект суммируется 3 раза"
